FAMILY	Agossypii	Dhansenii	Ncrassa	Nfumigata	Pcarinii	Pjirovecii	Rdelemar	Sjaponicus	Spombe	Tdeformans	Umaydis	Scerevisiae	Ylipolytica	Scryophilus	Soctosporus
ORTHOMCL77	2	4	1	4	0	0	0	1	0	1	3	5	9	0	0
ORTHOMCL78	1	1	1	1	0	0	18	1	1	1	1	1	1	1	1
ORTHOMCL79	1	7	1	1	0	0	7	0	1	0	0	2	6	2	2
ORTHOMCL80	2	2	2	2	0	2	4	2	2	2	2	2	2	2	2
ORTHOMCL81	2	3	2	3	1	1	4	1	1	2	2	3	3	1	1
ORTHOMCL82	2	2	2	2	2	2	4	2	2	1	1	2	2	2	2
ORTHOMCL83	2	2	2	2	1	1	3	2	2	2	2	2	3	2	2
ORTHOMCL84	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL85	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0
ORTHOMCL86	1	0	2	5	0	0	18	0	0	1	1	1	0	0	0
ORTHOMCL87	0	0	3	5	0	0	6	0	0	3	2	0	10	0	0
ORTHOMCL88	1	1	1	1	0	0	4	2	2	1	9	3	1	2	1
ORTHOMCL89	2	2	2	3	0	0	4	2	2	2	2	2	2	2	2
ORTHOMCL90	2	2	2	2	0	0	3	2	2	2	2	2	4	2	2
ORTHOMCL91	2	2	1	1	1	1	5	2	3	1	1	2	2	3	2
ORTHOMCL92	2	1	1	2	1	1	6	1	1	1	7	1	2	1	1
ORTHOMCL93	0	0	3	2	0	0	19	0	1	1	0	0	0	1	1
ORTHOMCL94	1	5	0	1	1	1	0	2	2	1	7	2	1	2	2
ORTHOMCL95	1	1	2	2	1	1	2	2	3	1	2	2	2	3	3
ORTHOMCL96	1	1	2	2	1	2	4	2	2	2	1	2	2	2	2
ORTHOMCL97	2	2	2	2	1	2	3	2	2	2	0	2	2	2	2
ORTHOMCL98	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0
ORTHOMCL99	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0
ORTHOMCL100	1	5	2	6	0	0	2	0	0	1	2	1	7	0	0
